,Method,Diff_Kd,Diff_Str,Diff_Td,Diff_Sub,Diff_Head,Diff_Body,Diff_Leg,Diff_Distance,Diff_Clinch,Diff_Ground,Diff_Ctrl,Fighter_1_W
0,M-DEC,0,-2,-4,-1,0,3,-5,11,1,-14,-432,0
1,U-DEC,0,-18,-3,1,-4,-2,-12,-9,-4,-5,-286,0
2,U-DEC,0,7,1,0,10,8,-11,0,3,4,-218,0
3,U-DEC,0,2,-2,0,6,-4,0,12,-6,-4,-238,0
4,U-DEC,-1,-27,1,0,16,18,-7,23,11,-7,-262,1
5,U-DEC,0,-48,3,0,5,16,27,39,10,-1,-404,1
6,U-DEC,0,14,-2,0,55,-75,34,14,-10,10,52,0
7,U-DEC,0,17,0,-1,14,-2,5,9,9,-1,-338,0
8,U-DEC,0,-10,-3,-1,26,4,-20,-2,5,7,106,1
9,U-DEC,0,-3,-1,0,-1,5,-1,-6,9,0,93,1
10,U-DEC,1,-4,1,0,-24,-3,23,2,1,-7,-445,0
11,U-DEC,0,-72,2,0,19,0,53,72,0,0,-43,1
12,U-DEC,0,-15,-1,0,-10,3,-8,-24,9,0,6,0
13,U-DEC,0,-28,-1,0,-12,-14,-2,-18,1,-11,-128,0
14,U-DEC,-1,-35,-1,0,-21,12,-26,-33,-2,0,28,0
15,U-DEC,0,-42,1,0,37,9,-4,38,4,0,82,1
16,U-DEC,0,3,5,0,-6,6,-3,0,6,-9,-568,1
17,U-DEC,-1,-37,2,3,19,6,12,21,1,15,69,1
18,U-DEC,0,2,0,0,-14,4,12,1,1,0,-22,0
19,U-DEC,0,-5,-5,-1,0,4,1,1,-1,5,322,1
20,U-DEC,0,-10,0,2,-12,3,-1,-18,3,5,-44,0
21,U-DEC,0,2,-1,2,5,5,-12,3,-6,1,134,1
22,U-DEC,0,-8,0,0,21,-6,-7,17,-10,1,40,1
23,S-DEC,0,-9,-3,1,-28,-8,27,5,-1,-13,-237,0
24,S-DEC,-1,-4,3,0,-7,6,5,-16,25,-5,-358,1
25,S-DEC,0,22,0,0,13,-3,12,25,-3,0,0,0
26,U-DEC,0,-10,0,0,-1,-2,-7,-15,5,0,7,0
27,U-DEC,0,-26,2,0,20,-9,15,33,-7,0,-154,1
28,U-DEC,0,-73,-3,0,47,20,6,30,8,35,616,1
29,U-DEC,-1,-43,0,0,-63,-7,27,-27,-11,-5,-14,0
30,U-DEC,-1,-13,-1,0,24,-4,-7,-2,2,13,37,1
31,U-DEC,0,-5,0,0,1,-9,13,5,0,0,0,1
32,U-DEC,0,-23,0,0,35,20,-32,24,-1,0,-20,1
33,U-DEC,0,9,-1,0,-12,15,6,-8,17,0,-560,0
34,U-DEC,0,2,0,0,7,0,-9,-6,3,1,-1,1
35,U-DEC,0,-36,2,0,31,5,0,32,4,0,-368,1
36,U-DEC,0,-21,-6,0,23,0,-2,-25,27,19,362,1
37,U-DEC,0,-22,5,1,6,9,7,3,19,0,-391,1
38,U-DEC,0,-87,0,0,-18,-12,-57,-77,-10,0,-4,0
39,S-DEC,0,-32,-1,0,5,-2,29,40,1,-9,-23,1
40,U-DEC,0,-3,0,0,0,-3,6,3,0,0,0,1
41,U-DEC,0,-21,-4,-2,7,6,8,12,0,9,566,1
42,U-DEC,0,-6,0,0,9,9,-12,-3,8,1,479,1
43,U-DEC,-1,37,0,0,18,-11,-44,-36,-2,1,7,1
44,U-DEC,0,-26,-1,0,9,2,15,21,2,3,227,1
45,U-DEC,-1,-139,-6,2,87,34,18,27,16,96,933,1
46,U-DEC,0,-64,-2,0,-22,-9,-33,-59,-2,-3,-82,0
47,U-DEC,0,11,2,-1,0,1,10,1,13,-3,-64,0
48,U-DEC,0,-28,0,0,56,-11,-17,27,1,0,0,1
49,U-DEC,0,-33,0,0,9,-3,-39,-33,0,0,81,0
50,U-DEC,0,4,0,0,-14,3,7,-7,3,0,0,1
51,S-DEC,-1,19,-1,0,-26,6,1,-14,-7,2,12,1
52,U-DEC,0,-27,0,0,-22,-6,1,-27,0,0,0,0
53,U-DEC,0,-6,-6,1,6,-2,2,22,-18,2,487,1
54,U-DEC,0,18,-1,0,0,-2,-16,-20,2,0,-105,1
55,U-DEC,0,-14,-2,0,8,0,6,12,-2,4,273,1
56,U-DEC,0,-17,2,-2,7,4,6,11,3,3,254,1
57,U-DEC,0,-25,-6,-1,25,0,0,2,0,23,1110,1
58,U-DEC,0,-52,0,0,44,-1,9,41,11,0,266,1
59,U-DEC,0,-13,-3,0,-7,-2,-4,-2,1,-12,-358,0
60,U-DEC,-1,-26,2,0,20,3,3,23,-1,4,-55,1
61,U-DEC,0,-33,3,-1,0,30,3,5,32,-4,-259,1
62,U-DEC,0,-12,-4,2,11,-1,2,7,-2,7,321,1
63,U-DEC,0,-29,-4,0,12,7,10,29,3,-3,202,1
64,S-DEC,0,-18,3,1,15,-19,-14,-21,-4,7,446,0
65,U-DEC,0,-21,0,0,-11,26,6,17,4,0,-1,1
66,U-DEC,0,-26,-1,0,-7,3,30,18,-3,11,-68,1
67,U-DEC,0,-12,-1,0,-22,4,6,-7,-5,0,162,0
68,U-DEC,-1,-36,-3,-2,21,10,5,5,8,23,368,1
69,S-DEC,0,22,-1,0,-4,21,5,23,-1,0,-7,0
70,U-DEC,0,-59,0,0,15,12,32,58,1,0,-77,1
71,U-DEC,-2,-26,-13,0,26,13,-13,19,4,3,308,1
72,U-DEC,0,7,-3,-3,-4,-2,-1,-2,1,-6,518,1
73,U-DEC,0,-50,-2,0,39,15,-4,48,2,0,48,1
74,U-DEC,0,-2,-2,0,-8,5,1,12,-9,-5,-136,0
75,S-DEC,0,-51,2,0,26,25,0,40,10,1,-329,1
76,U-DEC,0,-25,-2,0,16,6,3,15,1,9,388,1
77,U-DEC,0,-28,3,0,-18,-14,4,-16,-9,-3,337,0
78,U-DEC,0,-61,-3,-1,-15,-37,-9,-54,-6,-1,-164,0
79,U-DEC,0,-32,-1,-1,10,11,11,34,-2,0,6,1
80,S-DEC,0,35,-2,0,-6,7,34,33,2,0,8,0
81,U-DEC,-1,-7,-3,0,8,-2,1,-9,1,15,234,1
82,U-DEC,0,-48,-10,0,-44,-5,1,-5,-9,-34,-688,0
83,S-DEC,-1,18,-4,0,27,-7,-2,24,-1,-5,-265,0
84,S-DEC,-1,-25,1,-1,-14,5,-16,-22,-1,-2,-171,0
85,U-DEC,1,-36,-2,1,25,-3,14,1,0,35,568,1
86,U-DEC,0,-59,1,1,-58,-5,4,-41,-5,-13,305,0
87,U-DEC,0,-17,-3,-1,-22,5,0,4,-1,-20,-736,0
88,U-DEC,0,-36,-1,0,-31,-1,-4,-33,-3,0,103,0
89,S-DEC,0,19,-1,0,-11,-7,-1,-17,-3,1,-130,1
90,S-DEC,0,29,-1,0,-18,24,23,15,20,-6,192,0
91,U-DEC,0,-19,1,2,-3,-6,-10,-11,-3,-5,-94,0
92,U-DEC,0,-41,-2,0,14,6,21,30,4,7,173,1
93,U-DEC,-1,-65,-3,0,-81,17,-1,-27,-2,-36,-215,0
94,S-DEC,0,5,1,0,6,2,-13,-15,10,0,-7,1
95,U-DEC,0,-9,-2,0,2,7,0,10,-1,0,-18,1
96,U-DEC,0,-24,-2,0,28,-7,3,21,1,2,12,1
97,S-DEC,0,-17,1,0,-33,-1,17,-5,-12,0,69,0
98,U-DEC,0,-20,-4,-1,-26,12,-6,-2,-8,-10,-246,0
99,S-DEC,0,-2,0,0,0,4,-6,-2,0,0,242,0
100,U-DEC,0,-14,2,1,-11,-2,-1,0,-1,-13,-555,0
101,U-DEC,0,-88,-3,0,-56,-24,-8,-47,-21,-20,-159,0
102,U-DEC,0,-30,-1,0,14,7,9,19,10,1,132,1
103,U-DEC,0,-29,0,0,7,15,7,-4,26,7,341,1
104,U-DEC,0,-26,0,0,50,-17,-7,10,10,6,11,1
105,U-DEC,0,-34,-3,0,27,7,0,-5,6,33,641,1
106,U-DEC,0,11,1,0,-7,15,3,8,2,1,57,0
107,U-DEC,0,-101,-6,0,72,25,4,79,2,20,410,1
108,U-DEC,-1,-14,0,0,7,6,1,23,-12,3,15,1
109,U-DEC,-1,-12,1,0,20,-7,-1,26,-16,2,-158,1
110,U-DEC,0,-4,-1,0,-19,2,13,3,-6,-1,-448,0
111,U-DEC,0,-14,0,0,-2,18,-2,12,2,0,-24,1
112,U-DEC,0,-1,-2,-1,-2,-6,7,0,-3,2,28,0
113,U-DEC,0,-42,1,0,26,9,7,14,21,7,-122,1
114,S-DEC,0,56,1,-1,26,14,16,51,0,5,-312,0
115,U-DEC,0,-33,2,1,17,23,-7,23,9,1,29,1
116,U-DEC,0,-9,-5,0,12,-2,-1,-9,0,18,609,1
117,S-DEC,0,-13,1,0,-3,-7,-3,-4,-9,0,361,0
118,U-DEC,0,-32,-2,1,22,7,3,-5,3,34,568,1
119,U-DEC,-1,21,-3,0,-15,-7,1,-10,-13,2,141,1
120,U-DEC,0,-25,3,0,1,17,7,19,6,0,-160,1
121,U-DEC,0,-4,-1,0,2,11,-9,7,-3,0,468,1
122,U-DEC,-1,-60,-3,0,77,-21,4,23,-11,48,361,1
123,U-DEC,0,-20,-1,0,-35,9,6,-15,-5,0,-2,0
124,U-DEC,0,-71,0,0,45,17,9,69,2,0,112,1
125,S-DEC,0,-19,2,0,-31,8,4,-15,-6,2,230,0
126,U-DEC,0,-98,3,-1,61,30,7,63,31,4,-53,1
127,U-DEC,-1,-3,-1,0,0,-3,0,-7,6,-2,-534,0
128,U-DEC,0,-54,0,0,-13,1,-42,-43,-6,-5,50,0
129,U-DEC,0,-16,-1,0,27,-4,-7,19,-6,3,143,1
130,U-DEC,1,-7,1,0,23,-14,-16,-11,-1,5,119,0
131,S-DEC,0,-7,-2,0,-4,0,-3,-3,-2,-2,99,0
132,S-DEC,0,-36,-1,0,16,20,0,21,8,7,-66,1
133,U-DEC,0,-51,0,0,57,26,-32,51,0,0,0,1
134,U-DEC,0,-51,-4,4,47,-1,5,18,8,25,469,1
135,U-DEC,0,-48,0,0,-41,-13,6,-22,-16,-10,-365,0
136,S-DEC,0,19,0,0,-35,14,2,-10,-9,0,66,1
137,U-DEC,0,6,-3,0,2,4,0,3,-2,5,-717,0
138,U-DEC,0,23,-3,0,-34,-7,18,-23,-1,1,267,1
139,U-DEC,0,-54,0,0,-67,-1,14,-56,1,1,27,0
140,U-DEC,0,-4,0,0,3,2,-1,-5,4,5,-166,1
141,U-DEC,0,-4,-11,1,9,-10,5,0,-2,6,565,1
142,U-DEC,0,-13,2,0,1,-9,-5,-3,-14,4,223,0
143,U-DEC,0,-24,-4,0,27,6,-9,29,-5,0,-18,1
144,S-DEC,2,-16,-6,0,12,4,0,-2,-2,20,583,1
145,U-DEC,1,-2,-1,0,1,-1,-2,-7,5,0,-101,0
146,U-DEC,0,15,-2,0,-11,-4,0,-10,-8,3,723,1
147,S-DEC,0,-12,2,2,4,-4,-12,-14,0,2,243,0
148,U-DEC,0,-71,0,0,29,24,18,70,1,0,-39,1
149,U-DEC,-1,-3,0,0,-15,-4,16,-4,1,0,170,0
150,U-DEC,-1,17,0,0,-10,-2,-5,-23,0,6,168,1
151,U-DEC,0,-78,0,0,-81,-1,4,-75,-3,0,-20,0
152,U-DEC,-1,-27,0,0,-47,5,15,0,-5,-22,-98,0
153,U-DEC,0,-46,3,1,-25,2,-23,-27,1,-20,265,0
154,S-DEC,0,-17,2,0,-8,2,23,25,-2,-6,-420,1
155,U-DEC,0,-3,-4,0,20,-5,-12,-1,-1,5,336,1
156,U-DEC,0,-27,2,1,-24,-3,0,-2,-4,-21,-160,0
157,U-DEC,0,-13,0,0,-19,16,-10,-13,4,-4,-80,0
158,S-DEC,0,17,1,0,2,1,14,15,2,0,-24,0
159,S-DEC,0,17,1,0,-7,15,9,17,0,0,74,0
160,U-DEC,0,-57,0,0,4,20,33,57,0,0,0,1
161,U-DEC,0,-34,1,3,-33,-1,0,-8,-6,-20,-200,0
162,S-DEC,0,-70,-3,1,-56,-3,-11,-54,3,-19,-419,0
163,U-DEC,0,-11,-4,0,20,0,-9,-1,-2,14,510,1
164,S-DEC,0,-9,3,0,-21,6,6,-4,1,-6,275,0
165,S-DEC,0,-5,-2,0,-3,13,-15,5,1,-11,-242,0
166,U-DEC,-1,-59,0,0,-35,-11,-13,-53,0,-6,-24,0
167,S-DEC,0,-13,3,3,27,-2,-12,0,0,13,-62,1
168,U-DEC,0,-15,-2,0,2,-1,14,15,0,0,283,1
169,M-DEC,0,-33,4,0,-23,12,44,46,-12,-1,-303,1
170,M-DEC,0,-6,-1,0,43,-38,1,3,3,0,5,1
171,U-DEC,0,-8,0,0,15,-13,6,-5,13,0,83,1
172,U-DEC,0,-35,0,0,8,-3,30,33,2,0,-14,1
173,S-DEC,0,-6,-5,0,-20,12,14,2,-2,6,389,1
174,S-DEC,0,-24,4,0,27,3,-6,22,-2,4,-102,1
175,S-DEC,0,-31,-2,0,6,12,13,9,21,1,68,1
176,M-DEC,0,4,1,0,-15,6,5,-6,-3,5,-20,1
177,U-DEC,0,-32,-4,3,-19,-3,-10,-10,2,-24,-377,0
178,U-DEC,0,-72,-10,0,-50,-19,-3,-63,-9,0,-303,0
179,U-DEC,0,9,3,1,12,7,-10,9,-1,1,-108,0
180,U-DEC,0,-6,-2,-1,8,3,-5,6,-3,3,93,1
181,U-DEC,-1,-12,-8,0,12,-1,1,0,-2,14,584,1
182,S-DEC,0,-79,3,-2,48,35,-4,50,28,1,-122,1
183,U-DEC,0,-52,-2,0,5,38,9,32,20,0,-57,1
184,U-DEC,0,-12,-5,0,30,-11,-7,-6,1,17,576,1
185,S-DEC,1,11,-4,0,-5,-12,6,-12,-2,3,380,1
186,U-DEC,0,-6,-1,1,-1,6,1,6,1,-1,53,1
187,U-DEC,0,-52,-2,2,-34,-6,-12,-48,0,-4,-500,0
188,M-DEC,-1,-57,-1,0,-26,-8,-23,-27,1,-31,-247,0
189,U-DEC,0,-12,-2,1,-13,-2,3,-6,3,-9,-170,0
190,U-DEC,1,26,-11,1,19,5,2,24,0,2,-428,0
191,U-DEC,0,-24,-1,0,12,8,4,-3,25,2,365,1
192,U-DEC,0,2,-4,0,7,-5,-4,-9,0,7,687,1
193,S-DEC,0,12,-2,0,-11,0,-1,3,-14,-1,95,1
194,M-DEC,0,-13,-3,2,-17,2,2,5,0,-18,-573,0
195,U-DEC,0,-30,0,0,-16,-8,-6,-3,-27,0,-507,0
196,U-DEC,0,4,-4,0,-10,11,3,15,-7,-4,-277,0
197,U-DEC,0,-71,0,0,-9,-5,-57,-71,0,0,0,0
198,U-DEC,0,-41,0,1,-30,-23,12,-34,0,-7,17,0
199,U-DEC,0,-32,-1,0,12,11,9,19,5,8,227,1
200,U-DEC,0,1,2,0,-7,8,0,5,-5,1,124,0
201,U-DEC,0,-31,-3,1,10,9,12,21,0,10,277,1
202,U-DEC,0,-32,-3,2,19,6,7,24,7,1,224,1
203,U-DEC,0,-31,-1,0,-20,10,-21,-28,-2,-1,-100,0
204,S-DEC,0,1,0,0,34,-19,-14,2,-1,0,131,0
205,U-DEC,0,-21,-2,0,-11,1,-11,-19,0,-2,46,0
206,U-DEC,0,-6,-1,0,-12,9,9,5,0,1,295,1
207,M-DEC,0,-30,5,0,1,16,13,10,-1,21,-96,1
208,S-DEC,0,-1,5,0,1,1,-1,5,0,-4,-449,1
209,U-DEC,0,-157,2,0,-128,-23,-6,-123,-13,-21,0,0
210,U-DEC,0,-131,-1,0,-80,-9,-42,-118,-12,-1,-62,0
211,U-DEC,0,-23,1,0,-31,15,-7,-21,-2,0,94,0
212,S-DEC,0,-53,1,0,-30,-28,5,-24,-28,-1,-113,0
213,U-DEC,0,15,0,0,-31,21,-5,-25,10,0,114,1
214,U-DEC,0,-59,-1,0,67,-3,-5,71,-12,0,240,1
215,S-DEC,0,-17,0,0,4,-27,6,-3,-14,0,207,0
216,U-DEC,0,-66,-1,0,41,22,3,35,8,23,180,1
217,U-DEC,0,-55,-2,0,28,20,7,35,-1,21,473,1
218,U-DEC,0,-33,-4,-1,15,9,9,14,5,14,539,1
219,S-DEC,0,11,1,0,-69,36,22,-11,0,0,-48,1
220,U-DEC,0,2,-7,0,-4,-3,5,5,-8,1,559,1
221,U-DEC,0,11,-2,1,3,5,3,5,1,5,-578,0
222,U-DEC,-3,-13,-2,1,-11,-1,-1,4,-4,-13,-154,0
223,U-DEC,0,-24,-6,0,13,3,8,5,10,9,370,1
224,U-DEC,-1,-40,-7,0,-37,-1,-2,-5,-2,-33,-851,0
225,U-DEC,-1,-25,2,-2,-16,-13,4,-13,-4,-8,105,0
226,U-DEC,0,-4,-6,0,-3,1,6,-9,8,5,419,1
227,S-DEC,0,23,2,0,-30,-8,15,0,-1,-22,-680,1
228,U-DEC,0,-3,3,0,1,-1,3,1,3,-1,-353,1
229,U-DEC,0,-111,0,0,46,55,10,68,43,0,0,1
230,S-DEC,0,-1,-4,0,-25,18,8,-2,0,3,317,1
231,U-DEC,0,-28,0,0,16,13,-1,27,0,1,30,1
232,U-DEC,0,-53,0,0,-33,-9,-11,-17,-6,-30,-165,0
233,U-DEC,0,-18,-6,0,-4,15,7,25,-4,-3,279,1
234,U-DEC,0,-81,1,0,-99,-1,19,-76,-5,0,81,0
235,S-DEC,0,4,1,0,28,7,-39,-11,8,-1,-6,1
236,U-DEC,0,-29,0,0,29,0,0,23,6,0,104,1
237,U-DEC,0,1,-1,0,0,5,-4,-2,3,0,-123,0
238,S-DEC,1,-27,5,-1,32,-4,-1,5,0,22,77,1
239,U-DEC,-1,28,-2,0,-11,-15,-2,-62,0,34,478,1
240,U-DEC,0,2,-2,0,-3,3,-2,-4,2,0,472,1
241,U-DEC,0,-1,-7,-1,10,-3,-6,-6,3,4,379,1
242,U-DEC,0,3,-2,0,9,-11,-1,-4,1,0,233,1
243,U-DEC,-1,-22,1,0,-26,3,1,-8,-3,-11,-349,0
244,U-DEC,0,-34,-5,-1,23,9,2,9,3,22,554,1
245,U-DEC,0,-22,-2,0,-13,-4,-5,-26,4,0,-69,0
246,S-DEC,-1,5,0,0,-7,9,3,2,6,-3,-226,0
247,U-DEC,0,-17,0,0,29,21,-33,21,-4,0,-10,1
248,S-DEC,0,35,0,0,20,9,6,36,-1,0,5,0
249,U-DEC,0,-5,-4,1,7,-2,0,0,0,5,741,1
250,S-DEC,0,-26,6,0,-39,7,6,-33,1,6,342,0
251,U-DEC,-1,-26,4,0,13,6,7,23,-2,5,-93,1
252,U-DEC,0,-22,-1,0,-23,5,-4,-24,2,0,-14,0
253,U-DEC,0,-5,1,-2,-3,2,-4,-3,0,-2,-48,0
254,U-DEC,0,-15,-6,-1,-7,-9,1,-4,-7,-4,-510,0
255,U-DEC,0,-2,0,0,7,-8,3,11,-9,0,407,1
256,U-DEC,0,-60,3,0,-7,26,41,56,4,0,-49,1
257,M-DEC,1,-18,-3,0,16,-7,9,6,-1,13,416,1
258,U-DEC,0,-27,2,0,-2,16,13,19,9,-1,-209,1
259,U-DEC,0,-5,-2,0,17,-14,2,-9,11,3,266,1
260,S-DEC,-2,-11,0,0,2,9,0,13,0,-2,-46,1
261,U-DEC,0,-49,-9,0,-49,0,0,-32,-4,-13,-453,0
262,U-DEC,0,-14,-5,0,-23,31,6,-8,19,3,86,1
263,M-DEC,0,-52,2,2,-8,-4,-40,-48,-3,-1,308,0
264,U-DEC,-1,-20,1,-1,10,1,9,23,0,-3,-283,1
265,U-DEC,-1,-62,-2,0,46,16,0,28,2,32,427,1
266,U-DEC,0,-2,-9,-1,24,-5,-17,-35,1,36,468,1
267,U-DEC,0,-10,-3,0,23,-1,-12,-9,4,15,507,1
268,S-DEC,0,22,-1,-2,10,-11,-21,-21,-1,0,251,1
269,S-DEC,0,26,-3,-1,8,9,9,29,-3,0,-423,0
270,U-DEC,0,-15,-1,1,5,-1,11,16,-1,0,-87,1
271,U-DEC,0,-29,-4,3,-18,-9,-2,-1,-2,-26,-90,0
272,U-DEC,0,-19,-1,0,3,-14,30,19,0,0,38,1
273,U-DEC,0,-47,0,0,-33,-22,8,-39,-3,-5,-90,0
274,S-DEC,0,-10,1,0,-29,6,13,-10,0,0,2,0
275,U-DEC,0,-18,-2,0,-17,-10,9,-2,-8,-8,-250,0
276,U-DEC,-1,-32,-2,0,20,1,11,15,4,13,401,1
277,U-DEC,0,-10,-2,0,-5,2,-7,-8,0,-2,-83,0
278,U-DEC,-1,7,-2,0,-5,0,12,17,-6,-4,-52,0
279,S-DEC,0,21,1,0,4,5,12,19,2,0,92,0
280,U-DEC,0,-41,-1,0,34,-1,8,39,0,2,-16,1
281,U-DEC,0,-5,-2,-2,13,1,-9,-8,6,7,207,1
282,U-DEC,0,-12,-3,1,4,2,6,12,-3,3,470,1
283,U-DEC,0,-11,-4,0,-5,15,-21,-23,14,-2,-246,0
284,U-DEC,-1,9,-2,0,-15,-1,25,12,-3,0,-35,0
285,U-DEC,0,-32,-2,0,21,4,7,20,2,10,313,1
286,U-DEC,0,-22,-1,0,14,10,-2,5,1,16,281,1
287,U-DEC,0,-19,0,0,-9,11,-21,-8,-11,0,-306,0
288,M-DEC,0,-7,2,0,6,3,-2,22,-7,-8,-194,1
289,U-DEC,0,-80,0,0,-46,-30,-4,-57,-19,-4,-181,0
290,S-DEC,2,18,1,-1,7,3,-28,-15,0,-3,-178,1
291,U-DEC,0,-42,-2,0,-14,-18,-10,-15,-5,-22,-290,0
292,U-DEC,0,16,3,0,-12,-6,2,-12,-2,-2,-357,1
293,M-DEC,1,-20,-2,-2,11,2,7,2,21,-3,232,1
294,U-DEC,0,-20,0,0,10,-6,16,17,3,0,-21,1
295,U-DEC,0,7,0,0,-18,11,0,-11,1,3,19,1
296,S-DEC,0,52,0,0,1,-48,-5,-51,-1,0,6,1
297,S-DEC,0,9,3,0,-1,13,-3,9,0,0,129,0
298,M-DEC,0,-36,0,0,33,7,-4,15,5,16,61,1
299,U-DEC,-3,-25,-6,0,-13,-4,-8,2,1,-28,-709,0
