,Fighter,Head,Body,Leg,Distance,Clinch,Ground,Event
0,Islam Makhachev Alexander Volkanovski,13 of 16  0 of 1,9 of 11  1 of 1,2 of 2  3 of 4,7 of 11  3 of 5,8 of 9  1 of 1,9 of 9  0 of 0,UFC 294: Makhachev vs. Volkanovski 2
1,Kamaru Usman Khamzat Chimaev,27 of 52  27 of 53,6 of 10  3 of 9,3 of 4  8 of 8,33 of 63  22 of 53,1 of 1  0 of 0,2 of 2  16 of 17,UFC 294: Makhachev vs. Volkanovski 2
2,Magomed Ankalaev Johnny Walker,7 of 13  4 of 15,3 of 3  1 of 2,3 of 3  9 of 10,7 of 11  14 of 27,1 of 1  0 of 0,5 of 7  0 of 0,UFC 294: Makhachev vs. Volkanovski 2
3,Magomed Ankalaev Johnny Walker,7 of 13  4 of 15,3 of 3  1 of 2,3 of 3  9 of 10,7 of 11  14 of 27,1 of 1  0 of 0,5 of 7  0 of 0,UFC 294: Makhachev vs. Volkanovski 2
4,Ikram Aliskerov Warlley Alves,20 of 29  3 of 6,6 of 6  1 of 1,0 of 1  8 of 9,26 of 36  12 of 16,0 of 0  0 of 0,0 of 0  0 of 0,UFC 294: Makhachev vs. Volkanovski 2
5,Said Nurmagomedov Muin Gafurov,2 of 7  0 of 2,2 of 2  0 of 0,1 of 2  1 of 1,5 of 11  1 of 3,0 of 0  0 of 0,0 of 0  0 of 0,UFC 294: Makhachev vs. Volkanovski 2
6,Tim Elliott Muhammad Mokaev,19 of 30  8 of 21,10 of 12  3 of 8,1 of 1  3 of 4,14 of 27  10 of 29,8 of 8  1 of 1,8 of 8  3 of 3,UFC 294: Makhachev vs. Volkanovski 2
7,Mohammad Yahya Trevor Peek,28 of 70  32 of 61,14 of 21  16 of 23,1 of 1  13 of 13,41 of 90  50 of 83,2 of 2  6 of 9,0 of 0  5 of 5,UFC 294: Makhachev vs. Volkanovski 2
8,Javid Basharat Victor Henry,8 of 21  3 of 10,8 of 8  6 of 6,14 of 14  16 of 20,26 of 39  23 of 34,4 of 4  2 of 2,0 of 0  0 of 0,UFC 294: Makhachev vs. Volkanovski 2
9,Javid Basharat Victor Henry,8 of 21  3 of 10,8 of 8  6 of 6,14 of 14  16 of 20,26 of 39  23 of 34,4 of 4  2 of 2,0 of 0  0 of 0,UFC 294: Makhachev vs. Volkanovski 2
10,Abu Azaitar Sedriques Dumas,21 of 78  11 of 45,13 of 18  5 of 11,7 of 10  18 of 23,31 of 90  31 of 76,3 of 6  0 of 0,7 of 10  3 of 3,UFC 294: Makhachev vs. Volkanovski 2
11,Mike Breeden Anshul Jubli,75 of 157  63 of 145,11 of 13  27 of 36,6 of 7  13 of 13,89 of 174  97 of 181,2 of 2  6 of 13,1 of 1  0 of 0,UFC 294: Makhachev vs. Volkanovski 2
12,Nathaniel Wood Muhammad Naimov,37 of 57  31 of 60,6 of 7  10 of 13,7 of 8  7 of 8,36 of 56  24 of 48,5 of 6  11 of 14,9 of 10  13 of 19,UFC 294: Makhachev vs. Volkanovski 2
13,Viktoriia Dudakova Jinh Yu Frey,47 of 115  31 of 80,26 of 30  8 of 13,1 of 1  8 of 8,60 of 131  37 of 89,14 of 15  3 of 4,0 of 0  7 of 8,UFC 294: Makhachev vs. Volkanovski 2
14,Shara Magomedov Bruno Silva,56 of 92  51 of 76,22 of 24  6 of 7,35 of 38  8 of 8,74 of 106  35 of 56,15 of 21  5 of 5,24 of 27  25 of 30,UFC 294: Makhachev vs. Volkanovski 2
15,Sodiq Yusuff Edson Barboza,126 of 284  71 of 204,14 of 20  89 of 112,38 of 47  4 of 8,148 of 311  134 of 290,15 of 18  25 of 27,15 of 22  5 of 7,UFC Fight Night: Yusuff vs. Barboza
16,Jennifer Maia Viviane Araujo,29 of 87  15 of 36,2 of 4  4 of 5,10 of 10  5 of 5,31 of 88  22 of 43,10 of 13  1 of 2,0 of 0  1 of 1,UFC Fight Night: Yusuff vs. Barboza
17,Jonathan Martinez Adrian Yanez,7 of 15  9 of 59,0 of 2  10 of 12,29 of 41  1 of 1,36 of 58  17 of 66,0 of 0  3 of 6,0 of 0  0 of 0,UFC Fight Night: Yusuff vs. Barboza
18,Andre Petroski Michel Pereira,0 of 1  5 of 17,0 of 0  1 of 1,0 of 0  0 of 0,0 of 1  2 of 6,0 of 0  0 of 0,0 of 0  4 of 12,UFC Fight Night: Yusuff vs. Barboza
19,Christian Rodriguez Cameron Saaiman,64 of 141  38 of 121,18 of 19  14 of 21,1 of 1  21 of 33,63 of 131  65 of 160,13 of 21  8 of 15,7 of 9  0 of 0,UFC Fight Night: Yusuff vs. Barboza
20,Darren Elkins TJ Brown,8 of 29  11 of 45,3 of 3  1 of 2,0 of 1  3 of 3,11 of 32  15 of 49,0 of 1  0 of 0,0 of 0  0 of 1,UFC Fight Night: Yusuff vs. Barboza
21,Tainara Lisboa Ravena Oliveira,9 of 24  10 of 23,8 of 9  3 of 6,1 of 2  2 of 2,7 of 20  13 of 28,11 of 12  2 of 3,0 of 3  0 of 0,UFC Fight Night: Yusuff vs. Barboza
22,Terrance McKinney Brendon Marotte,14 of 21  0 of 0,0 of 0  0 of 0,0 of 0  1 of 1,0 of 1  1 of 1,1 of 1  0 of 0,13 of 19  0 of 0,UFC Fight Night: Yusuff vs. Barboza
23,Irina Alekseeva Melissa Dixon,23 of 72  47 of 89,2 of 7  5 of 6,23 of 29  0 of 0,44 of 99  42 of 76,2 of 4  1 of 1,2 of 5  9 of 18,UFC Fight Night: Yusuff vs. Barboza
24,Chris Gutierrez Alatengheili,44 of 96  25 of 108,10 of 20  10 of 21,56 of 81  3 of 4,110 of 195  38 of 130,0 of 2  0 of 2,0 of 0  0 of 1,UFC Fight Night: Yusuff vs. Barboza
25,Ashley Yoder Emily Ducote,59 of 216  69 of 145,32 of 40  29 of 40,11 of 13  19 of 25,93 of 259  117 of 209,9 of 10  0 of 1,0 of 0  0 of 0,UFC Fight Night: Yusuff vs. Barboza
26,Grant Dawson Bobby Green,0 of 6  7 of 10,0 of 0  0 of 0,0 of 0  0 of 1,0 of 6  1 of 4,0 of 0  0 of 0,0 of 0  6 of 7,UFC Fight Night: Dawson vs. Green
27,Joe Pyfer Abdul Razak Alhassan,15 of 47  4 of 15,9 of 12  2 of 3,2 of 3  5 of 10,24 of 60  11 of 27,2 of 2  0 of 1,0 of 0  0 of 0,UFC Fight Night: Dawson vs. Green
28,Alex Morono Joaquin Buckley,29 of 122  41 of 134,10 of 17  24 of 36,1 of 2  3 of 6,37 of 133  55 of 141,3 of 8  2 of 9,0 of 0  11 of 26,UFC Fight Night: Dawson vs. Green
29,Drew Dober Ricky Glenn,19 of 40  2 of 15,7 of 9  3 of 7,4 of 4  0 of 0,20 of 38  5 of 22,2 of 3  0 of 0,8 of 12  0 of 0,UFC Fight Night: Dawson vs. Green
30,Alexander Hernandez Bill Algeo,25 of 80  46 of 156,45 of 66  33 of 50,5 of 10  31 of 38,75 of 154  108 of 241,0 of 2  2 of 3,0 of 0  0 of 0,UFC Fight Night: Dawson vs. Green
31,Karolina Kowalkiewicz Diana Belbita,94 of 203  57 of 199,42 of 58  33 of 50,5 of 6  9 of 12,123 of 244  85 of 241,17 of 21  13 of 18,1 of 2  1 of 2,UFC Fight Night: Dawson vs. Green
32,Nate Maness Mateus Mendonca,26 of 31  0 of 3,2 of 3  2 of 3,1 of 1  1 of 1,1 of 2  1 of 5,2 of 3  2 of 2,26 of 30  0 of 0,UFC Fight Night: Dawson vs. Green
33,Vanessa Demopoulos Kanako Murata,21 of 49  27 of 55,10 of 13  4 of 5,0 of 3  3 of 4,10 of 36  10 of 23,7 of 10  1 of 1,14 of 19  23 of 40,UFC Fight Night: Dawson vs. Green
34,Aoriqileng Johnny Munoz,24 of 41  5 of 30,8 of 11  2 of 3,12 of 14  0 of 3,28 of 45  7 of 33,1 of 3  0 of 3,15 of 18  0 of 0,UFC Fight Night: Dawson vs. Green
35,Montana De La Rosa JJ Aldrich,41 of 172  55 of 122,13 of 16  9 of 11,13 of 16  1 of 2,59 of 184  58 of 124,8 of 20  7 of 11,0 of 0  0 of 0,UFC Fight Night: Dawson vs. Green
36,Rafael Fiziev Mateusz Gamrot,4 of 14  11 of 31,12 of 16  2 of 5,2 of 2  3 of 4,18 of 32  13 of 35,0 of 0  1 of 1,0 of 0  2 of 4,UFC Fight Night: Fiziev vs. Gamrot
37,Bryce Mitchell Dan Ige,13 of 22  13 of 47,7 of 14  3 of 6,3 of 4  2 of 2,17 of 29  16 of 51,1 of 3  2 of 3,5 of 8  0 of 1,UFC Fight Night: Fiziev vs. Gamrot
38,Marina Rodriguez Michelle Waterson-Gomez,47 of 70  7 of 23,22 of 30  5 of 7,1 of 2  1 of 2,12 of 23  4 of 17,53 of 73  7 of 9,5 of 6  2 of 6,UFC Fight Night: Fiziev vs. Gamrot
39,Bryan Battle AJ Fletcher,9 of 25  6 of 26,34 of 52  6 of 9,2 of 3  13 of 16,29 of 61  20 of 41,16 of 19  5 of 9,0 of 0  0 of 1,UFC Fight Night: Fiziev vs. Gamrot
40,Ricardo Ramos Charles Jourdain,0 of 6  3 of 4,0 of 1  4 of 4,0 of 2  1 of 1,0 of 9  7 of 8,0 of 0  1 of 1,0 of 0  0 of 0,UFC Fight Night: Fiziev vs. Gamrot
41,Dan Argueta Miles Johns,20 of 67  32 of 77,8 of 12  5 of 9,5 of 6  6 of 6,22 of 70  40 of 84,5 of 8  2 of 3,6 of 7  1 of 5,UFC Fight Night: Fiziev vs. Gamrot
42,Tim Means Andre Fialho,66 of 103  32 of 75,33 of 35  15 of 23,5 of 5  4 of 5,56 of 87  35 of 86,30 of 35  16 of 17,18 of 21  0 of 0,UFC Fight Night: Fiziev vs. Gamrot
43,Jacob Malkoun Cody Brundage,28 of 39  1 of 3,0 of 0  0 of 0,0 of 0  1 of 1,0 of 0  1 of 3,0 of 0  0 of 0,28 of 39  1 of 1,UFC Fight Night: Fiziev vs. Gamrot
44,Mohammed Usman Jake Collier,58 of 156  53 of 145,27 of 35  22 of 25,0 of 0  12 of 13,83 of 186  80 of 171,1 of 3  7 of 12,1 of 2  0 of 0,UFC Fight Night: Fiziev vs. Gamrot
45,Mizuki Hannah Goldy,31 of 72  10 of 43,20 of 29  26 of 39,4 of 4  11 of 13,37 of 77  20 of 55,17 of 26  27 of 40,1 of 2  0 of 0,UFC Fight Night: Fiziev vs. Gamrot
46,Tamires Vidal Montserrat Rendon,17 of 59  45 of 148,3 of 3  11 of 18,40 of 47  13 of 16,60 of 108  55 of 151,0 of 1  1 of 2,0 of 0  13 of 29,UFC Fight Night: Fiziev vs. Gamrot
47,Alexa Grasso Valentina Shevchenko,54 of 151  61 of 158,12 of 22  6 of 8,18 of 30  13 of 13,51 of 160  67 of 158,31 of 35  6 of 8,2 of 8  7 of 13,UFC Fight Night: Grasso vs. Shevchenko 2
48,Alexa Grasso Valentina Shevchenko,54 of 151  61 of 158,12 of 22  6 of 8,18 of 30  13 of 13,51 of 160  67 of 158,31 of 35  6 of 8,2 of 8  7 of 13,UFC Fight Night: Grasso vs. Shevchenko 2
49,Kevin Holland Jack Della Maddalena,59 of 258  46 of 115,33 of 55  36 of 49,35 of 43  23 of 26,119 of 346  94 of 175,8 of 10  11 of 15,0 of 0  0 of 0,UFC Fight Night: Grasso vs. Shevchenko 2
50,Raul Rosas Jr. Terrence Mitchell,17 of 29  5 of 18,1 of 1  1 of 1,0 of 0  0 of 0,6 of 11  6 of 19,1 of 2  0 of 0,11 of 17  0 of 0,UFC Fight Night: Grasso vs. Shevchenko 2
51,Daniel Zellhuber Christos Giagos,18 of 75  25 of 63,11 of 19  3 of 7,7 of 7  10 of 12,35 of 100  36 of 79,1 of 1  2 of 3,0 of 0  0 of 0,UFC Fight Night: Grasso vs. Shevchenko 2
52,Fernando Padilla Kyle Nelson,42 of 168  43 of 143,17 of 22  19 of 20,13 of 18  20 of 21,65 of 198  80 of 176,7 of 10  2 of 8,0 of 0  0 of 0,UFC Fight Night: Grasso vs. Shevchenko 2
53,Loopy Godinez Elise Reed,15 of 25  0 of 6,4 of 4  2 of 3,2 of 2  1 of 4,15 of 24  3 of 12,3 of 3  0 of 0,3 of 4  0 of 1,UFC Fight Night: Grasso vs. Shevchenko 2
54,Roman Kopylov Josh Fremd,23 of 56  18 of 81,9 of 10  8 of 13,17 of 18  12 of 22,47 of 80  37 of 115,2 of 4  1 of 1,0 of 0  0 of 0,UFC Fight Night: Grasso vs. Shevchenko 2
55,Edgar Chairez Daniel Lacerda,0 of 6  1 of 8,2 of 3  1 of 3,10 of 11  2 of 3,12 of 20  3 of 12,0 of 0  0 of 0,0 of 0  1 of 2,UFC Fight Night: Grasso vs. Shevchenko 2
56,Edgar Chairez Daniel Lacerda,0 of 6  1 of 8,2 of 3  1 of 3,10 of 11  2 of 3,12 of 20  3 of 12,0 of 0  0 of 0,0 of 0  1 of 2,UFC Fight Night: Grasso vs. Shevchenko 2
57,Tracy Cortez Jasmine Jasudavicius,63 of 164  43 of 148,16 of 23  25 of 47,24 of 25  9 of 11,91 of 198  58 of 176,12 of 14  19 of 30,0 of 0  0 of 0,UFC Fight Night: Grasso vs. Shevchenko 2
58,Alex Reyes Charlie Campbell,8 of 30  27 of 53,2 of 4  10 of 13,4 of 4  6 of 6,12 of 32  35 of 60,2 of 6  7 of 10,0 of 0  1 of 2,UFC Fight Night: Grasso vs. Shevchenko 2
59,Josefine Knutsson Marnic Mann,53 of 97  6 of 20,20 of 23  0 of 6,8 of 8  2 of 3,38 of 69  8 of 29,8 of 11  0 of 0,35 of 48  0 of 0,UFC Fight Night: Grasso vs. Shevchenko 2
60,Israel Adesanya Sean Strickland,22 of 154  85 of 186,38 of 60  45 of 62,34 of 57  7 of 11,94 of 271  121 of 235,0 of 0  11 of 14,0 of 0  5 of 10,UFC 293: Adesanya vs. Strickland
61,Tai Tuivasa Alexander Volkov,4 of 31  65 of 110,7 of 9  18 of 21,17 of 27  10 of 12,26 of 65  72 of 115,2 of 2  3 of 3,0 of 0  18 of 25,UFC 293: Adesanya vs. Strickland
62,Manel Kape Felipe dos Santos,77 of 137  53 of 215,24 of 30  28 of 60,11 of 15  18 of 29,92 of 149  94 of 292,6 of 9  4 of 8,14 of 24  1 of 4,UFC 293: Adesanya vs. Strickland
63,Justin Tafa Austen Lane,9 of 11  3 of 9,0 of 0  1 of 2,2 of 3  3 of 3,6 of 9  7 of 14,0 of 0  0 of 0,5 of 5  0 of 0,UFC 293: Adesanya vs. Strickland
64,Tyson Pedro Anton Turkalj,12 of 24  3 of 13,1 of 2  1 of 1,3 of 3  4 of 10,15 of 28  6 of 21,0 of 0  2 of 3,1 of 1  0 of 0,UFC 293: Adesanya vs. Strickland
65,Carlos Ulberg Da Woon Jung,50 of 119  14 of 59,20 of 23  12 of 20,11 of 12  32 of 41,59 of 126  55 of 115,8 of 9  3 of 5,14 of 19  0 of 0,UFC 293: Adesanya vs. Strickland
66,Jack Jenkins Chepe Mariscal,16 of 36  14 of 53,13 of 18  11 of 16,12 of 14  13 of 18,35 of 60  23 of 65,6 of 8  14 of 21,0 of 0  1 of 1,UFC 293: Adesanya vs. Strickland
67,Jamie Mullarkey John Makdessi,38 of 120  37 of 119,13 of 20  22 of 45,37 of 39  24 of 24,88 of 179  83 of 188,0 of 0  0 of 0,0 of 0  0 of 0,UFC 293: Adesanya vs. Strickland
68,Nasrat Haqparast Landon Quinones,114 of 304  79 of 273,57 of 73  37 of 46,0 of 0  32 of 35,161 of 361  137 of 340,10 of 16  11 of 14,0 of 0  0 of 0,UFC 293: Adesanya vs. Strickland
69,Blood Diamond Charles Radtke,19 of 58  31 of 72,19 of 28  4 of 4,6 of 8  0 of 0,19 of 58  27 of 59,25 of 36  8 of 17,0 of 0  0 of 0,UFC 293: Adesanya vs. Strickland
70,Shane Young Gabriel Miranda,0 of 2  0 of 2,1 of 2  1 of 2,0 of 0  1 of 2,1 of 4  2 of 6,0 of 0  0 of 0,0 of 0  0 of 0,UFC 293: Adesanya vs. Strickland
71,Kevin Jousset Kiefer Crosbie,18 of 44  20 of 37,4 of 5  9 of 12,7 of 9  10 of 10,25 of 54  36 of 52,4 of 4  3 of 7,0 of 0  0 of 0,UFC 293: Adesanya vs. Strickland
72,Ciryl Gane Serghei Spivac,48 of 85  7 of 38,39 of 49  2 of 3,22 of 22  2 of 3,105 of 152  11 of 44,4 of 4  0 of 0,0 of 0  0 of 0,UFC Fight Night: Gane vs. Spivac
73,Manon Fiorot Rose Namajunas,39 of 197  32 of 107,15 of 22  15 of 26,4 of 6  13 of 17,53 of 214  59 of 148,4 of 10  1 of 2,1 of 1  0 of 0,UFC Fight Night: Gane vs. Spivac
74,Benoit Saint Denis Thiago Moises,49 of 123  12 of 46,28 of 34  10 of 14,24 of 25  2 of 2,42 of 71  23 of 59,10 of 14  1 of 3,49 of 97  0 of 0,UFC Fight Night: Gane vs. Spivac
75,Volkan Oezdemir Bogdan Guskov,19 of 37  7 of 23,1 of 2  1 of 1,6 of 7  0 of 1,15 of 32  8 of 24,1 of 1  0 of 1,10 of 13  0 of 0,UFC Fight Night: Gane vs. Spivac
76,William Gomis Yanis Ghemmouri,10 of 30  0 of 24,6 of 15  7 of 11,36 of 43  21 of 38,47 of 82  24 of 69,5 of 6  4 of 4,0 of 0  0 of 0,UFC Fight Night: Gane vs. Spivac
77,Morgan Charriere Manolo Zecchini,16 of 37  5 of 30,7 of 8  1 of 4,3 of 4  3 of 7,25 of 47  9 of 41,1 of 1  0 of 0,0 of 1  0 of 0,UFC Fight Night: Gane vs. Spivac
78,Taylor Lapilus Caolan Loughran,59 of 133  28 of 100,18 of 23  13 of 23,7 of 7  7 of 9,76 of 150  44 of 125,7 of 12  3 of 6,1 of 1  1 of 1,UFC Fight Night: Gane vs. Spivac
79,Ange Loosa Rhys McKee,71 of 144  48 of 145,19 of 29  19 of 25,8 of 9  10 of 13,45 of 103  70 of 172,32 of 51  5 of 8,21 of 28  2 of 3,UFC Fight Night: Gane vs. Spivac
80,Nora Cornolle Joselyne Edwards,12 of 37  6 of 20,17 of 24  8 of 9,11 of 16  4 of 13,17 of 39  14 of 35,23 of 38  4 of 6,0 of 0  0 of 1,UFC Fight Night: Gane vs. Spivac
81,Farid Basharat Kleydson Rodrigues,2 of 3  3 of 4,2 of 2  2 of 2,0 of 1  2 of 2,0 of 1  4 of 5,1 of 1  1 of 1,3 of 4  2 of 2,UFC Fight Night: Gane vs. Spivac
82,Zarah Fairn Jacqueline Cavalcanti,25 of 241  43 of 127,8 of 12  20 of 22,6 of 6  63 of 72,39 of 258  116 of 209,0 of 1  10 of 12,0 of 0  0 of 0,UFC Fight Night: Gane vs. Spivac
83,Max Holloway Chan Sung Jung,34 of 77  25 of 110,31 of 35  6 of 8,10 of 16  3 of 6,71 of 124  34 of 122,1 of 1  0 of 2,3 of 3  0 of 0,UFC Fight Night: Holloway vs. The Korean Zombie
84,Anthony Smith Ryan Spann,44 of 92  39 of 158,12 of 15  14 of 23,35 of 40  6 of 6,90 of 146  50 of 174,1 of 1  0 of 0,0 of 0  9 of 13,UFC Fight Night: Holloway vs. The Korean Zombie
85,Giga Chikadze Alex Caceres,25 of 83  25 of 110,22 of 38  25 of 44,18 of 20  12 of 14,65 of 139  62 of 168,0 of 2  0 of 0,0 of 0  0 of 0,UFC Fight Night: Holloway vs. The Korean Zombie
86,Rinya Nakamura Fernie Garcia,16 of 31  9 of 53,10 of 13  4 of 7,10 of 13  2 of 6,25 of 44  13 of 63,0 of 0  0 of 1,11 of 13  2 of 2,UFC Fight Night: Holloway vs. The Korean Zombie
87,Erin Blanchfield Taila Santos,37 of 99  28 of 118,18 of 23  9 of 15,6 of 6  18 of 18,43 of 102  46 of 133,17 of 24  9 of 18,1 of 2  0 of 0,UFC Fight Night: Holloway vs. The Korean Zombie
88,Junior Tafa Parker Porter,7 of 12  2 of 9,1 of 1  0 of 0,0 of 0  0 of 0,4 of 7  2 of 9,4 of 6  0 of 0,0 of 0  0 of 0,UFC Fight Night: Holloway vs. The Korean Zombie
89,Waldo Cortes-Acosta Lukasz Brzeski,9 of 36  1 of 7,3 of 5  3 of 3,3 of 4  10 of 12,12 of 42  14 of 22,3 of 3  0 of 0,0 of 0  0 of 0,UFC Fight Night: Holloway vs. The Korean Zombie
90,Toshiomi Kazama Garrett Armfield,8 of 24  36 of 67,3 of 3  9 of 10,4 of 4  0 of 0,15 of 30  40 of 68,0 of 1  0 of 0,0 of 0  5 of 9,UFC Fight Night: Holloway vs. The Korean Zombie
91,Chidi Njokuani Michal Oleksiejczuk,7 of 21  31 of 59,18 of 32  12 of 12,4 of 4  1 of 1,19 of 37  17 of 36,10 of 20  4 of 5,0 of 0  23 of 31,UFC Fight Night: Holloway vs. The Korean Zombie
92,Song Kenan Rolando Bedoya,54 of 118  36 of 146,16 of 24  27 of 49,5 of 7  49 of 63,68 of 140  104 of 245,6 of 8  8 of 13,1 of 1  0 of 0,UFC Fight Night: Holloway vs. The Korean Zombie
93,Billy Goff Yusaku Kinoshita,13 of 47  15 of 48,13 of 20  2 of 5,14 of 18  0 of 0,36 of 78  17 of 52,2 of 2  0 of 1,2 of 5  0 of 0,UFC Fight Night: Holloway vs. The Korean Zombie
94,Liang Na JJ Aldrich,7 of 30  46 of 63,3 of 8  1 of 2,1 of 3  0 of 0,9 of 36  9 of 18,2 of 5  1 of 2,0 of 0  37 of 45,UFC Fight Night: Holloway vs. The Korean Zombie
95,SeungWoo Choi Jarno Errens,22 of 69  13 of 47,8 of 15  6 of 14,26 of 31  11 of 15,51 of 107  30 of 73,2 of 3  0 of 2,3 of 5  0 of 1,UFC Fight Night: Holloway vs. The Korean Zombie
96,Aljamain Sterling Sean O'Malley,3 of 12  18 of 25,3 of 10  6 of 9,11 of 13  1 of 1,16 of 33  10 of 16,1 of 2  1 of 1,0 of 0  14 of 18,UFC 292: Sterling vs. O'Malley
97,Zhang Weili Amanda Lemos,106 of 150  19 of 57,37 of 42  3 of 4,20 of 25  2 of 2,50 of 77  23 of 61,17 of 18  1 of 2,96 of 122  0 of 0,UFC 292: Sterling vs. O'Malley
98,Neil Magny Ian Garry,10 of 41  32 of 90,7 of 11  16 of 17,10 of 14  43 of 43,25 of 61  84 of 140,2 of 5  4 of 5,0 of 0  3 of 5,UFC 292: Sterling vs. O'Malley
99,Da'Mon Blackshear Mario Bautista,48 of 123  48 of 103,22 of 30  21 of 22,20 of 21  10 of 12,52 of 129  51 of 101,37 of 42  24 of 30,1 of 3  4 of 6,UFC 292: Sterling vs. O'Malley
100,Marlon Vera Pedro Munhoz,109 of 212  53 of 177,9 of 14  20 of 28,23 of 25  40 of 41,138 of 246  111 of 244,3 of 4  2 of 2,0 of 1  0 of 0,UFC 292: Sterling vs. O'Malley
101,Chris Weidman Brad Tavares,30 of 77  21 of 61,5 of 12  8 of 9,2 of 3  41 of 45,35 of 90  68 of 113,2 of 2  2 of 2,0 of 0  0 of 0,UFC 292: Sterling vs. O'Malley
102,Gregory Rodrigues Denis Tiuliulin,4 of 5  2 of 7,1 of 1  0 of 0,0 of 0  0 of 0,1 of 2  2 of 7,0 of 0  0 of 0,4 of 4  0 of 0,UFC 292: Sterling vs. O'Malley
103,Kurt Holobaugh Austin Hubbard,46 of 101  25 of 86,10 of 12  17 of 19,5 of 6  2 of 2,50 of 106  31 of 87,9 of 10  9 of 12,2 of 3  4 of 8,UFC 292: Sterling vs. O'Malley
104,Brad Katona Cody Gibson,116 of 254  130 of 228,25 of 37  22 of 27,19 of 20  12 of 13,127 of 262  134 of 233,33 of 49  30 of 35,0 of 0  0 of 0,UFC 292: Sterling vs. O'Malley
105,Andre Petroski Gerald Meerschaert,39 of 114  65 of 135,12 of 12  6 of 9,6 of 6  5 of 5,46 of 117  60 of 131,3 of 4  10 of 10,8 of 11  6 of 8,UFC 292: Sterling vs. O'Malley
106,Andrea Lee Natalia Silva,12 of 74  34 of 111,11 of 23  17 of 43,20 of 28  19 of 20,43 of 125  70 of 174,0 of 0  0 of 0,0 of 0  0 of 0,UFC 292: Sterling vs. O'Malley
107,Karine Silva Maryna Moroz,15 of 31  8 of 41,7 of 9  7 of 12,8 of 13  1 of 2,18 of 40  10 of 47,11 of 12  6 of 8,1 of 1  0 of 0,UFC 292: Sterling vs. O'Malley
108,Vicente Luque Rafael Dos Anjos,48 of 115  42 of 108,17 of 19  19 of 23,7 of 7  5 of 5,60 of 127  38 of 105,8 of 8  26 of 27,4 of 6  2 of 4,UFC Fight Night: Luque vs. Dos Anjos
109,Cub Swanson Hakeem Dawodu,41 of 112  41 of 104,27 of 31  29 of 37,9 of 13  25 of 35,59 of 135  79 of 158,18 of 21  16 of 18,0 of 0  0 of 0,UFC Fight Night: Luque vs. Dos Anjos
110,Khalil Rountree Jr. Chris Daukaus,12 of 19  6 of 19,3 of 4  2 of 2,1 of 1  0 of 0,11 of 17  7 of 19,3 of 4  1 of 2,2 of 3  0 of 0,UFC Fight Night: Luque vs. Dos Anjos
111,Polyana Viana Iasmin Lucindo,2 of 15  5 of 18,4 of 6  4 of 5,4 of 4  1 of 1,10 of 25  9 of 21,0 of 0  0 of 0,0 of 0  1 of 3,UFC Fight Night: Luque vs. Dos Anjos
112,AJ Dobson Tafon Nchukwi,19 of 75  11 of 47,12 of 18  12 of 15,36 of 41  30 of 37,61 of 119  49 of 92,2 of 5  4 of 7,4 of 10  0 of 0,UFC Fight Night: Luque vs. Dos Anjos
113,Josh Fremd Jamie Pickett,11 of 49  4 of 31,10 of 18  6 of 16,10 of 13  4 of 5,22 of 64  11 of 45,6 of 11  3 of 7,3 of 5  0 of 0,UFC Fight Night: Luque vs. Dos Anjos
114,JP Buys Marcus McGhee,2 of 22  6 of 11,1 of 3  0 of 0,1 of 5  1 of 2,4 of 29  7 of 13,0 of 1  0 of 0,0 of 0  0 of 0,UFC Fight Night: Luque vs. Dos Anjos
115,Terrance McKinney Mike Breeden,23 of 36  0 of 4,7 of 11  1 of 1,0 of 0  0 of 0,16 of 30  1 of 5,11 of 14  0 of 0,3 of 3  0 of 0,UFC Fight Night: Luque vs. Dos Anjos
116,Francis Marshall Isaac Dulgarian,0 of 5  32 of 50,0 of 0  0 of 0,2 of 2  3 of 3,2 of 7  3 of 4,0 of 0  0 of 0,0 of 0  32 of 49,UFC Fight Night: Luque vs. Dos Anjos
117,Josh Parisian Martin Buday,15 of 49  35 of 60,6 of 7  7 of 7,5 of 5  0 of 0,20 of 47  28 of 49,6 of 14  14 of 18,0 of 0  0 of 0,UFC Fight Night: Luque vs. Dos Anjos
118,Jaqueline Amorim Montserrat Conejo Ruiz,76 of 120  2 of 29,9 of 14  2 of 4,1 of 2  2 of 3,6 of 15  5 of 31,0 of 0  0 of 1,80 of 121  1 of 4,UFC Fight Night: Luque vs. Dos Anjos
119,Da'Mon Blackshear Jose Johnson,7 of 16  4 of 7,2 of 5  2 of 3,9 of 9  2 of 2,5 of 13  7 of 9,6 of 8  0 of 2,7 of 9  1 of 1,UFC Fight Night: Luque vs. Dos Anjos
120,Juliana Miller Luana Santos,15 of 61  44 of 82,9 of 13  16 of 20,0 of 1  3 of 3,18 of 64  53 of 88,6 of 11  10 of 17,0 of 0  0 of 0,UFC Fight Night: Luque vs. Dos Anjos
121,Cory Sandhagen Rob Font,30 of 79  5 of 43,2 of 3  2 of 3,2 of 2  2 of 3,10 of 47  8 of 44,0 of 1  0 of 3,24 of 36  1 of 2,UFC Fight Night: Sandhagen vs. Font
122,Jessica Andrade Tatiana Suarez,2 of 14  3 of 20,5 of 8  17 of 26,4 of 7  3 of 3,8 of 23  13 of 36,3 of 6  10 of 13,0 of 0  0 of 0,UFC Fight Night: Sandhagen vs. Font
