,Diff_Kd,Diff_Str,Diff_Td,Diff_Sub,Diff_Head,Diff_Body,Diff_Leg,Diff_Distance,Diff_Clinch,Diff_Ground,Diff_Ctrl,Fighter_1_W
2822,0,-4,-3,2,8,4,-8,-2,5,1,-109,1
2823,0,-63,0,0,52,5,6,64,-1,0,-1,1
2824,0,-38,-4,2,24,2,12,23,-2,17,343,1
2825,0,-22,-10,0,-5,-9,-8,-9,-10,-3,-199,0
2826,-1,9,0,0,-21,-5,17,17,-28,2,-209,1
2827,0,-54,-1,-1,-52,11,-13,-15,7,-46,-657,0
2828,0,-25,-2,-2,11,8,6,15,-2,12,247,1
2829,0,8,-3,0,-5,1,-4,4,-1,-11,489,1
2830,0,-16,-3,0,1,2,13,-4,-2,22,737,1
2831,0,-5,0,0,-11,10,-4,-9,2,2,-33,0
2832,0,17,-2,1,13,9,-5,3,18,-4,-381,0
2833,0,-61,2,2,48,6,7,18,37,6,307,1
2834,0,3,4,0,-1,-16,20,-28,9,22,165,0
2835,0,15,0,-2,-11,-6,2,-10,-4,-1,96,1
2836,0,-94,-3,0,53,1,40,92,3,-1,211,1
2837,-1,-36,-2,0,21,-1,16,36,-3,3,124,1
2838,0,-6,-5,1,-8,1,1,5,0,-11,-638,0
2839,0,-40,3,0,28,7,5,11,0,29,-46,1
2840,-1,-77,-1,0,-55,-14,-8,-55,-14,-8,-178,0
2841,0,-42,-6,0,-39,-4,1,-5,0,-37,-687,0
2842,-1,-55,1,0,-33,-1,-21,-52,-2,-1,-15,0
2843,1,-2,-3,0,8,-2,-4,-11,-8,21,512,1
2844,0,-21,-3,-1,3,18,0,0,7,14,635,1
2845,0,-24,-5,-1,-12,-10,-2,1,3,-28,-496,0
2846,0,-31,4,0,-2,-23,-6,-14,-16,-1,206,0
2847,0,38,-2,1,40,1,-3,35,-3,6,105,0
2848,-2,-23,0,0,29,0,-6,11,3,9,382,1
2849,0,-36,0,0,-2,-25,-9,-29,-7,0,31,0
2850,0,-10,-4,0,0,-2,-8,2,-10,-2,-711,0
2851,0,17,0,1,-4,-3,-10,-20,4,-1,-137,1
2852,-1,-17,1,-3,-13,-3,-1,-3,-3,-11,-186,0
2853,0,-33,4,0,-14,-1,-18,-2,-29,-2,17,0
2854,1,-3,4,-2,0,-4,1,-4,2,-1,223,0
2855,0,-4,2,2,-11,3,4,-6,3,-1,-77,0
2856,0,-56,0,0,2,10,44,44,10,2,-157,1
2857,0,-34,2,-3,21,-1,14,11,9,14,-95,1
2858,2,-39,2,0,19,29,-9,24,22,-7,-174,1
2859,0,-17,0,0,-4,19,2,-15,11,21,291,1
2860,0,10,-4,3,-9,-8,7,13,-18,-5,253,1
2861,0,-12,-1,4,5,6,1,-7,-18,37,460,1
2862,0,-4,-3,0,-14,7,3,0,1,-5,-232,0
2863,-1,-16,0,1,29,-1,-12,11,4,1,7,1
2864,0,-43,-5,-3,-28,-5,-10,-5,-7,-31,-774,0
2865,0,33,-1,0,-30,-9,6,-30,-3,0,27,1
2866,0,-23,3,0,-4,18,9,13,12,-2,-90,1
2867,0,-68,0,0,54,4,10,66,2,0,2,1
2868,0,-28,-5,-1,-24,-1,-3,2,-6,-24,-387,0
2869,0,-36,2,0,12,-1,25,16,20,0,200,1
2870,0,-11,-3,0,-14,1,2,0,6,-17,-703,0
2871,0,-23,0,0,6,11,6,0,18,5,-335,1
2872,0,-14,-5,0,-9,-4,-1,1,-4,-11,-217,0
2873,0,-29,0,0,-69,28,12,-27,-2,0,0,0
2874,0,37,-5,7,-34,-6,3,-38,-4,5,456,1
2875,1,-11,0,0,24,5,-18,10,1,0,-2,1
2876,0,-24,1,0,26,-6,4,44,-11,-9,-301,1
2877,0,-3,-5,0,-19,2,14,5,0,-8,-412,0
2878,0,-5,-4,0,4,0,1,-2,2,5,348,1
2879,0,-6,4,-2,-8,6,8,5,1,0,-76,1
2880,0,-39,-1,1,37,4,-2,8,1,30,434,1
2881,0,9,-9,0,17,4,-12,5,3,1,-269,0
2882,0,-5,-3,0,-1,-2,-2,2,-1,-6,-376,0
2883,-1,3,2,0,1,-3,-1,-12,0,9,99,1
2884,0,-24,-4,-1,23,-1,2,0,-1,25,557,1
2885,0,-16,-5,-1,16,3,-3,-3,2,17,511,1
2886,0,-1,-5,0,-5,1,3,7,2,-10,-399,0
2887,0,-3,-7,-1,1,-2,-2,-4,4,-3,-755,0
2888,0,-41,-3,0,-23,-17,-1,2,2,-45,-605,0
2889,0,-7,-9,0,2,6,-1,-5,3,9,366,1
2890,-1,-90,-1,0,-58,-32,0,-74,-15,-1,70,0
2891,0,-57,-3,0,-39,-18,0,-6,-6,-45,-684,0
2892,0,-32,-3,-1,-27,-9,4,-17,-5,-10,-93,0
2893,0,2,-3,1,-7,12,-3,17,6,-21,-709,0
2894,0,-6,0,0,-3,-4,1,-5,2,-3,-214,0
2895,0,-8,-6,0,-6,0,-2,-1,2,-9,-238,0
2896,0,47,-4,-2,4,-45,-6,-14,-44,11,106,1
2897,0,-9,2,0,13,-2,-2,5,-5,9,95,1
2898,0,-14,2,0,15,2,-3,0,12,2,-377,1
2899,0,16,-5,-2,2,2,12,15,2,-1,-377,0
2900,0,-21,-3,1,12,-5,14,0,14,7,578,1
2901,0,-12,-2,0,-22,3,7,-2,-10,0,-91,0
2902,0,-25,0,0,-10,-3,-12,-25,0,0,-1,0
2903,0,-29,-3,3,24,4,1,7,0,22,694,1
2904,0,4,-3,3,-3,1,-2,0,-6,2,587,1
2905,0,-33,2,1,-4,19,18,25,10,-2,81,1
2906,0,-11,0,-2,-11,-1,1,-5,-3,-3,-326,0
2907,0,-11,-5,0,2,10,-1,-2,1,12,640,1
2908,0,-2,-3,0,-7,-9,14,1,-3,0,-517,0
2909,0,-23,0,1,13,7,3,9,7,7,-289,1
2910,1,-12,-3,0,-14,8,-6,-5,-1,-6,-406,0
2911,0,-26,1,0,54,-11,-17,26,0,0,-45,1
2912,0,-5,2,2,0,-2,-3,-11,4,2,124,0
2913,-1,-60,1,0,-41,-9,-10,-33,-6,-21,-109,0
2914,0,-20,-6,0,-19,2,-3,3,-2,-21,-734,0
2915,-1,-47,0,0,30,1,16,26,21,0,49,1
2916,0,-9,-2,0,-3,-3,15,-2,8,3,273,1
2917,0,-8,-4,-1,1,6,1,-5,-1,14,720,1
2918,0,15,-3,1,-1,6,10,12,-1,4,-24,0
2919,0,14,-8,0,2,20,-8,7,16,-9,-387,0
2920,0,-37,2,0,36,-1,2,36,8,-7,-139,1
2921,0,-52,-2,0,-37,-11,-4,-6,-12,-34,-138,0
