,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
0,win,Islam Makhachev  Alexander Volkanovski,1  0,24  4,0  0,0  0,Lightweight,KO/TKO  Kick,1,3:06,UFC 294: Makhachev vs. Volkanovski 2
1,win,Khamzat Chimaev  Kamaru Usman,0  0,38  36,4  0,1  0,Middleweight,M-DEC,3,5:00,UFC 294: Makhachev vs. Volkanovski 2
2,nc nc,Magomed Ankalaev  Johnny Walker,0  0,13  14,1  0,0  0,Light Heavyweight,CNC,1,3:13,UFC 294: Makhachev vs. Volkanovski 2
3,win,Ikram Aliskerov  Warlley Alves,1  0,26  12,0  0,0  0,Middleweight,KO/TKO  Punches,1,2:07,UFC 294: Makhachev vs. Volkanovski 2
4,win,Said Nurmagomedov  Muin Gafurov,0  0,5  1,0  0,1  0,Bantamweight,SUB  Guillotine Choke,1,1:13,UFC 294: Makhachev vs. Volkanovski 2
5,win,Muhammad Mokaev  Tim Elliott,0  0,14  30,3  1,1  2,Flyweight,SUB  Arm Triangle,3,3:03,UFC 294: Makhachev vs. Volkanovski 2
6,win,Trevor Peek  Mohammad Yahya,0  0,61  43,4  1,0  1,Lightweight,U-DEC,3,5:00,UFC 294: Makhachev vs. Volkanovski 2
7,nc nc,Javid Basharat  Victor Henry,0  0,30  25,1  0,0  0,Bantamweight,CNC,2,0:15,UFC 294: Makhachev vs. Volkanovski 2
8,win,Sedriques Dumas  Abu Azaitar,0  0,34  41,1  2,0  0,Middleweight,U-DEC,3,5:00,UFC 294: Makhachev vs. Volkanovski 2
9,win,Mike Breeden  Anshul Jubli,1  0,92  103,0  0,0  0,Lightweight,KO/TKO  Punch,3,3:00,UFC 294: Makhachev vs. Volkanovski 2
10,win,Muhammad Naimov  Nathaniel Wood,0  0,48  50,4  2,0  0,Featherweight,U-DEC,3,5:00,UFC 294: Makhachev vs. Volkanovski 2
11,win,Viktoriia Dudakova  Jinh Yu Frey,1  0,74  47,0  1,0  0,Women's Strawweight,U-DEC,3,5:00,UFC 294: Makhachev vs. Volkanovski 2
12,win,Shara Magomedov  Bruno Silva,0  0,113  65,0  3,0  0,Middleweight,U-DEC,3,5:00,UFC 294: Makhachev vs. Volkanovski 2
13,win,Edson Barboza  Sodiq Yusuff,1  1,164  178,3  1,0  0,Featherweight,U-DEC,5,5:00,UFC Fight Night: Yusuff vs. Barboza
14,win,Viviane Araujo  Jennifer Maia,0  0,24  41,2  2,1  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Yusuff vs. Barboza
15,win,Jonathan Martinez  Adrian Yanez,2  0,36  20,0  0,0  0,Bantamweight,KO/TKO  Kicks,2,2:26,UFC Fight Night: Yusuff vs. Barboza
16,win,Michel Pereira  Andre Petroski,1  0,6  0,0  0,0  0,Middleweight,KO/TKO  Punch,1,1:06,UFC Fight Night: Yusuff vs. Barboza
17,win,Christian Rodriguez  Cameron Saaiman,0  0,83  73,3  0,2  1,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Yusuff vs. Barboza
18,win,Darren Elkins  TJ Brown,0  0,11  15,5  2,2  0,Featherweight,SUB  Rear Naked Choke,3,2:23,UFC Fight Night: Yusuff vs. Barboza
19,win,Tainara Lisboa  Ravena Oliveira,0  0,18  15,3  2,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Yusuff vs. Barboza
20,win,Terrance McKinney  Brendon Marotte,1  0,14  1,0  0,0  0,Lightweight,KO/TKO  Knee,1,0:20,UFC Fight Night: Yusuff vs. Barboza
21,win,Melissa Dixon  Irina Alekseeva,0  1,52  48,0  1,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Yusuff vs. Barboza
22,win,Chris Gutierrez  Alatengheili,0  0,110  38,0  2,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Yusuff vs. Barboza
23,win,Emily Ducote  Ashley Yoder,0  0,117  102,1  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Yusuff vs. Barboza
24,win,Bobby Green  Grant Dawson,1  0,7  0,0  0,0  0,Lightweight,KO/TKO  Punch,1,0:33,UFC Fight Night: Dawson vs. Green
25,win,Joe Pyfer  Abdul Razak Alhassan,0  0,26  11,3  0,2  1,Middleweight,SUB  Arm Triangle,2,2:05,UFC Fight Night: Dawson vs. Green
26,win,Joaquin Buckley  Alex Morono,0  0,68  40,2  1,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Dawson vs. Green
27,win,Drew Dober  Ricky Glenn,1  0,30  5,0  0,0  0,Lightweight,KO/TKO  Punches,1,2:36,UFC Fight Night: Dawson vs. Green
28,win,Bill Algeo  Alexander Hernandez,1  0,110  75,1  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Dawson vs. Green
29,win,Karolina Kowalkiewicz  Diana Belbita,0  0,141  99,1  2,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Dawson vs. Green
30,win,Nate Maness  Mateus Mendonca,0  0,29  3,0  0,0  0,Flyweight,KO/TKO  Punches,1,4:40,UFC Fight Night: Dawson vs. Green
31,win,Vanessa Demopoulos  Kanako Murata,0  0,31  34,0  5,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Dawson vs. Green
32,win,Aoriqileng  Johnny Munoz,1  0,44  7,2  4,0  3,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Dawson vs. Green
33,win,JJ Aldrich  Montana De La Rosa,0  0,65  67,0  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Dawson vs. Green
34,win,Mateusz Gamrot  Rafael Fiziev,0  0,16  18,1  0,0  0,Lightweight,KO/TKO,2,2:03,UFC Fight Night: Fiziev vs. Gamrot
35,win,Bryce Mitchell  Dan Ige,0  0,23  18,5  0,1  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Fiziev vs. Gamrot
36,win,Marina Rodriguez  Michelle Waterson-Gomez,0  0,70  13,1  1,0  0,Women's Strawweight,KO/TKO  Punches,2,2:42,UFC Fight Night: Fiziev vs. Gamrot
37,win,Bryan Battle  AJ Fletcher,0  0,45  25,1  0,1  0,Welterweight,SUB  Rear Naked Choke,2,4:32,UFC Fight Night: Fiziev vs. Gamrot
38,win,Charles Jourdain  Ricardo Ramos,0  0,8  0,0  2,1  1,Featherweight,SUB  Guillotine Choke,1,3:12,UFC Fight Night: Fiziev vs. Gamrot
39,win,Miles Johns  Dan Argueta,0  0,43  33,2  2,0  2,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Fiziev vs. Gamrot
40,win,Tim Means  Andre Fialho,2  0,104  51,0  1,0  0,Welterweight,KO/TKO  Punches,3,1:15,UFC Fight Night: Fiziev vs. Gamrot
41,win,Cody Brundage  Jacob Malkoun,0  0,2  28,1  1,0  0,Middleweight,DQ,1,4:15,UFC Fight Night: Fiziev vs. Gamrot
42,win,Mohammed Usman  Jake Collier,0  0,85  87,1  0,0  2,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Fiziev vs. Gamrot
43,win,Mizuki  Hannah Goldy,0  0,55  47,1  1,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Fiziev vs. Gamrot
44,win,Montserrat Rendon  Tamires Vidal,0  0,69  60,3  0,0  1,Women's Bantamweight,S-DEC,3,5:00,UFC Fight Night: Fiziev vs. Gamrot
45,draw draw,Alexa Grasso  Valentina Shevchenko,1  0,84  80,1  4,1  1,Women's Flyweight,S-DEC,5,5:00,UFC Fight Night: Grasso vs. Shevchenko 2
46,win,Jack Della Maddalena  Kevin Holland,0  0,105  127,0  0,0  0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Grasso vs. Shevchenko 2
47,win,Raul Rosas Jr.  Terrence Mitchell,1  0,18  6,0  0,0  0,Bantamweight,KO/TKO  Punches,1,0:54,UFC Fight Night: Grasso vs. Shevchenko 2
48,win,Daniel Zellhuber  Christos Giagos,0  0,36  38,0  0,1  0,Lightweight,SUB  Anaconda Choke,2,3:26,UFC Fight Night: Grasso vs. Shevchenko 2
49,win,Kyle Nelson  Fernando Padilla,0  0,82  72,0  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Grasso vs. Shevchenko 2
50,win,Loopy Godinez  Elise Reed,1  0,21  3,5  0,6  0,Women's Strawweight,SUB  Rear Naked Choke,2,3:38,UFC Fight Night: Grasso vs. Shevchenko 2
51,win,Roman Kopylov  Josh Fremd,1  0,49  38,0  0,0  0,Middleweight,KO/TKO  Punch,2,4:44,UFC Fight Night: Grasso vs. Shevchenko 2
52,nc nc,Edgar Chairez  Daniel Lacerda,0  0,12  4,0  1,1  0,Flyweight,Overturned,1,3:47,UFC Fight Night: Grasso vs. Shevchenko 2
53,win,Tracy Cortez  Jasmine Jasudavicius,0  0,103  77,0  2,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Grasso vs. Shevchenko 2
54,win,Charlie Campbell  Alex Reyes,1  0,43  14,0  0,0  0,Lightweight,KO/TKO  Punches,1,3:38,UFC Fight Night: Grasso vs. Shevchenko 2
55,win,Josefine Knutsson  Marnic Mann,0  0,81  8,3  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Grasso vs. Shevchenko 2
56,win,Sean Strickland  Israel Adesanya,1  0,137  94,0  0,0  0,Middleweight,U-DEC,5,5:00,UFC 293: Adesanya vs. Strickland
57,win,Alexander Volkov  Tai Tuivasa,1  0,93  28,0  0,1  0,Heavyweight,SUB  Ezekiel Choke,2,4:37,UFC 293: Adesanya vs. Strickland
58,win,Manel Kape  Felipe dos Santos,1  0,112  99,1  0,0  0,Flyweight,U-DEC,3,5:00,UFC 293: Adesanya vs. Strickland
59,win,Justin Tafa  Austen Lane,1  0,11  7,0  0,0  0,Heavyweight,KO/TKO  Punch,1,1:22,UFC 293: Adesanya vs. Strickland
60,win,Tyson Pedro  Anton Turkalj,1  0,16  8,0  0,0  0,Light Heavyweight,KO/TKO  Punch,1,2:12,UFC 293: Adesanya vs. Strickland
61,win,Carlos Ulberg  Da Woon Jung,1  0,81  58,1  1,1  0,Light Heavyweight,SUB  Rear Naked Choke,3,4:49,UFC 293: Adesanya vs. Strickland
62,win,Chepe Mariscal  Jack Jenkins,0  0,38  41,1  0,0  0,Featherweight,KO/TKO,2,3:19,UFC 293: Adesanya vs. Strickland
63,win,Jamie Mullarkey  John Makdessi,0  0,88  83,0  0,0  0,Lightweight,U-DEC,3,5:00,UFC 293: Adesanya vs. Strickland
64,win,Nasrat Haqparast  Landon Quinones,0  0,171  148,0  0,0  0,Lightweight,U-DEC,3,5:00,UFC 293: Adesanya vs. Strickland
65,win,Charles Radtke  Blood Diamond,0  0,35  44,1  0,0  0,Welterweight,U-DEC,3,5:00,UFC 293: Adesanya vs. Strickland
66,win,Gabriel Miranda  Shane Young,0  0,2  1,1  0,1  0,Featherweight,SUB  Rear Naked Choke,1,0:59,UFC 293: Adesanya vs. Strickland
67,win,Kevin Jousset  Kiefer Crosbie,0  0,29  39,1  0,1  0,Welterweight,SUB  Rear Naked Choke,1,4:49,UFC 293: Adesanya vs. Strickland
68,win,Ciryl Gane  Serghei Spivac,0  0,109  11,0  0,0  0,Heavyweight,KO/TKO  Punches,2,3:44,UFC Fight Night: Gane vs. Spivac
69,win,Manon Fiorot  Rose Namajunas,0  0,58  60,0  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Gane vs. Spivac
70,win,Benoit Saint Denis  Thiago Moises,0  0,101  24,5  1,0  1,Lightweight,KO/TKO  Punches,2,4:44,UFC Fight Night: Gane vs. Spivac
71,win,Volkan Oezdemir  Bogdan Guskov,1  0,26  8,1  0,1  0,Light Heavyweight,SUB  Rear Naked Choke,1,3:46,UFC Fight Night: Gane vs. Spivac
72,win,William Gomis  Yanis Ghemmouri,0  0,52  28,0  0,2  0,Featherweight,KO/TKO  Kick,3,2:20,UFC Fight Night: Gane vs. Spivac
73,win,Morgan Charriere  Manolo Zecchini,1  0,26  9,0  0,0  0,Featherweight,KO/TKO  Kicks,1,3:51,UFC Fight Night: Gane vs. Spivac
74,win,Taylor Lapilus  Caolan Loughran,0  0,84  48,0  2,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Gane vs. Spivac
75,win,Ange Loosa  Rhys McKee,0  0,98  77,6  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Gane vs. Spivac
76,win,Nora Cornolle  Joselyne Edwards,0  0,40  18,0  5,0  1,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Gane vs. Spivac
77,win,Farid Basharat  Kleydson Rodrigues,0  0,4  7,2  0,1  0,Bantamweight,SUB  Arm Triangle,1,4:15,UFC Fight Night: Gane vs. Spivac
78,win,Jacqueline Cavalcanti  Zarah Fairn,0  0,126  39,0  0,0  0,Catch Weight,U-DEC,3,5:00,UFC Fight Night: Gane vs. Spivac
79,win,Max Holloway  Chan Sung Jung,2  0,75  34,0  0,1  0,Featherweight,KO/TKO  Punch,3,0:23,UFC Fight Night: Holloway vs. The Korean Zombie
80,win,Anthony Smith  Ryan Spann,0  0,91  59,1  0,0  0,Light Heavyweight,S-DEC,3,5:00,UFC Fight Night: Holloway vs. The Korean Zombie
81,win,Giga Chikadze  Alex Caceres,0  0,65  62,0  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Holloway vs. The Korean Zombie
82,win,Rinya Nakamura  Fernie Garcia,0  0,36  15,4  0,3  1,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Holloway vs. The Korean Zombie
83,win,Erin Blanchfield  Taila Santos,0  0,61  55,0  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Holloway vs. The Korean Zombie
84,win,Junior Tafa  Parker Porter,1  0,8  2,0  0,0  0,Heavyweight,KO/TKO  Punch,1,1:24,UFC Fight Night: Holloway vs. The Korean Zombie
85,win,Waldo Cortes-Acosta  Lukasz Brzeski,1  0,15  14,0  0,0  0,Heavyweight,KO/TKO  Punches,1,3:01,UFC Fight Night: Holloway vs. The Korean Zombie
86,win,Garrett Armfield  Toshiomi Kazama,1  0,45  15,0  0,0  0,Bantamweight,KO/TKO  Punches,1,4:16,UFC Fight Night: Holloway vs. The Korean Zombie
87,win,Michal Oleksiejczuk  Chidi Njokuani,0  0,44  29,1  0,0  0,Middleweight,KO/TKO  Punches,1,4:16,UFC Fight Night: Holloway vs. The Korean Zombie
88,win,Song Kenan  Rolando Bedoya,1  0,75  112,0  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Holloway vs. The Korean Zombie
89,win,Billy Goff  Yusaku Kinoshita,1  0,40  17,0  0,0  0,Welterweight,KO/TKO  Punch,1,3:49,UFC Fight Night: Holloway vs. The Korean Zombie
90,win,JJ Aldrich  Liang Na,0  0,47  11,0  3,0  0,Women's Flyweight,KO/TKO  Elbows,2,4:49,UFC Fight Night: Holloway vs. The Korean Zombie
91,win,SeungWoo Choi  Jarno Errens,1  1,56  30,1  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Holloway vs. The Korean Zombie
92,win,Sean O'Malley  Aljamain Sterling,1  0,25  17,0  0,0  0,Bantamweight,KO/TKO  Punches,2,0:51,UFC 292: Sterling vs. O'Malley
93,win,Zhang Weili  Amanda Lemos,1  0,163  24,6  0,0  2,Women's Strawweight,U-DEC,5,5:00,UFC 292: Sterling vs. O'Malley
94,win,Ian Garry  Neil Magny,0  0,91  27,2  0,0  0,Welterweight,U-DEC,3,5:00,UFC 292: Sterling vs. O'Malley
95,win,Mario Bautista  Da'Mon Blackshear,0  0,79  90,2  4,1  0,Bantamweight,U-DEC,3,5:00,UFC 292: Sterling vs. O'Malley
96,win,Marlon Vera  Pedro Munhoz,0  0,141  113,0  0,0  0,Bantamweight,U-DEC,3,5:00,UFC 292: Sterling vs. O'Malley
97,win,Brad Tavares  Chris Weidman,0  0,70  37,0  0,0  0,Middleweight,U-DEC,3,5:00,UFC 292: Sterling vs. O'Malley
98,win,Gregory Rodrigues  Denis Tiuliulin,0  0,5  2,1  0,0  0,Middleweight,KO/TKO  Elbows,1,1:43,UFC 292: Sterling vs. O'Malley
99,win,Kurt Holobaugh  Austin Hubbard,0  0,61  44,0  2,2  0,Lightweight,SUB  Triangle Choke,2,2:39,UFC 292: Sterling vs. O'Malley
100,win,Brad Katona  Cody Gibson,0  0,160  164,0  0,0  0,Bantamweight,U-DEC,3,5:00,UFC 292: Sterling vs. O'Malley
101,win,Andre Petroski  Gerald Meerschaert,1  0,57  76,2  1,0  0,Middleweight,S-DEC,3,5:00,UFC 292: Sterling vs. O'Malley
102,win,Natalia Silva  Andrea Lee,0  0,70  43,0  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC 292: Sterling vs. O'Malley
103,win,Karine Silva  Maryna Moroz,1  0,30  16,1  0,1  0,Women's Flyweight,SUB  Guillotine Choke,1,4:59,UFC 292: Sterling vs. O'Malley
104,win,Vicente Luque  Rafael Dos Anjos,0  0,72  66,8  2,0  1,Welterweight,U-DEC,5,5:00,UFC Fight Night: Luque vs. Dos Anjos
105,win,Cub Swanson  Hakeem Dawodu,0  0,77  95,1  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Luque vs. Dos Anjos
106,win,Khalil Rountree Jr.  Chris Daukaus,1  0,16  8,0  0,0  0,Light Heavyweight,KO/TKO  Punch,1,2:40,UFC Fight Night: Luque vs. Dos Anjos
107,win,Iasmin Lucindo  Polyana Viana,0  0,10  10,2  1,1  0,Women's Strawweight,SUB  Arm Triangle,2,3:42,UFC Fight Night: Luque vs. Dos Anjos
108,win,AJ Dobson  Tafon Nchukwi,0  0,67  53,2  0,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Luque vs. Dos Anjos
109,win,Josh Fremd  Jamie Pickett,0  0,31  14,0  2,2  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Luque vs. Dos Anjos
110,win,Marcus McGhee  JP Buys,1  0,7  4,0  0,0  0,Bantamweight,KO/TKO  Punch,1,2:19,UFC Fight Night: Luque vs. Dos Anjos
111,win,Terrance McKinney  Mike Breeden,0  0,30  1,0  0,0  0,Lightweight,KO/TKO  Punches,1,1:25,UFC Fight Night: Luque vs. Dos Anjos
112,win,Isaac Dulgarian  Francis Marshall,0  0,35  2,1  0,0  0,Featherweight,KO/TKO  Elbows,1,4:48,UFC Fight Night: Luque vs. Dos Anjos
113,win,Martin Buday  Josh Parisian,0  0,42  26,1  0,1  0,Heavyweight,SUB  Kimura,1,4:11,UFC Fight Night: Luque vs. Dos Anjos
114,win,Jaqueline Amorim  Montserrat Conejo Ruiz,0  0,86  6,1  1,4  0,Women's Strawweight,KO/TKO  Punches,3,3:41,UFC Fight Night: Luque vs. Dos Anjos
115,win,Da'Mon Blackshear  Jose Johnson,0  0,18  8,2  0,1  0,Bantamweight,SUB  Twister,1,3:47,UFC Fight Night: Luque vs. Dos Anjos
116,win,Luana Santos  Juliana Miller,0  0,63  24,0  0,0  0,Women's Flyweight,KO/TKO  Punches,1,3:41,UFC Fight Night: Luque vs. Dos Anjos
117,win,Cory Sandhagen  Rob Font,0  0,34  9,7  1,1  0,Catch Weight,U-DEC,5,5:00,UFC Fight Night: Sandhagen vs. Font
118,win,Tatiana Suarez  Jessica Andrade,0  0,23  11,3  0,1  0,Women's Strawweight,SUB  Guillotine Choke,2,1:31,UFC Fight Night: Sandhagen vs. Font
119,win,Dustin Jacoby  Kennedy Nzechukwu,1  0,10  4,0  0,0  0,Light Heavyweight,KO/TKO  Punch,1,1:22,UFC Fight Night: Sandhagen vs. Font
120,win,Diego Lopes  Gavin Tucker,0  0,0  0,0  1,3  0,Featherweight,SUB  Triangle Armbar,1,1:38,UFC Fight Night: Sandhagen vs. Font
121,win,Tanner Boser  Aleksa Camur,0  0,120  68,0  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Font
122,win,Ludovit Klein  Ignacio Bahamondes,0  0,56  43,3  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Font
123,win,Kyler Phillips  Raoni Barcelos,1  0,72  46,1  3,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Font
124,win,Carlston Harris  Jeremiah Wells,0  0,5  18,0  3,1  2,Welterweight,SUB  Anaconda Choke,3,1:50,UFC Fight Night: Sandhagen vs. Font
125,win,Billy Quarantillo  Damon Jackson,0  0,100  67,0  3,1  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Font
126,win,Cody Durden  Jake Hadley,0  0,38  26,4  0,1  3,Flyweight,U-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Font
127,win,Sean Woodson  Dennis Buzukja,0  0,71  42,4  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Font
128,win,Assu Almabayev  Ode Osbourne,0  0,26  4,2  0,2  0,Flyweight,SUB  Rear Naked Choke,2,3:11,UFC Fight Night: Sandhagen vs. Font
129,win,Justin Gaethje  Dustin Poirier,1  0,41  27,0  0,0  0,Lightweight,KO/TKO  Kick,2,1:00,UFC 291: Poirier vs. Gaethje 2
130,win,Alex Pereira  Jan Blachowicz,0  0,70  52,0  3,1  2,Light Heavyweight,S-DEC,3,5:00,UFC 291: Poirier vs. Gaethje 2
131,win,Derrick Lewis  Marcos Rogerio de Lima,1  0,17  1,0  0,0  0,Heavyweight,KO/TKO  Punches,1,0:33,UFC 291: Poirier vs. Gaethje 2
132,win,Bobby Green  Tony Ferguson,0  0,137  54,0  0,1  0,Lightweight,SUB  Arm Triangle,3,4:54,UFC 291: Poirier vs. Gaethje 2
133,win,Kevin Holland  Michael Chiesa,0  0,9  4,0  0,1  0,Welterweight,SUB  D'Arce Choke,1,2:39,UFC 291: Poirier vs. Gaethje 2
134,win,Gabriel Bonfim  Trevin Giles,0  0,3  1,1  0,1  0,Welterweight,SUB  Guillotine Choke,1,1:13,UFC 291: Poirier vs. Gaethje 2
135,win,CJ Vergara  Vinicius Salvador,0  0,109  88,0  0,0  0,Flyweight,U-DEC,3,5:00,UFC 291: Poirier vs. Gaethje 2
136,win,Roman Kopylov  Claudio Ribeiro,1  0,32  32,0  0,0  0,Middleweight,KO/TKO  Kick,2,0:33,UFC 291: Poirier vs. Gaethje 2
137,win,Jake Matthews  Darrius Flowers,0  0,60  36,0  1,1  0,Welterweight,SUB  Rear Naked Choke,2,2:37,UFC 291: Poirier vs. Gaethje 2
138,win,Uros Medic  Matthew Semelsberger,1  1,69  52,1  0,0  0,Welterweight,KO/TKO  Spinning Back Elbow,3,2:36,UFC 291: Poirier vs. Gaethje 2
139,win,Miranda Maverick  Priscila Cachoeira,0  0,36  11,3  0,1  0,Women's Flyweight,SUB  Armbar,3,2:11,UFC 291: Poirier vs. Gaethje 2
140,win,Tom Aspinall  Marcin Tybura,1  0,13  4,0  0,0  0,Heavyweight,KO/TKO  Punch,1,1:13,UFC Fight Night: Aspinall vs. Tybura
141,win,Julija Stoliarenko  Molly McCann,0  0,9  6,1  0,1  0,Women's Flyweight,SUB  Armbar,1,1:55,UFC Fight Night: Aspinall vs. Tybura
142,win,Nathaniel Wood  Andre Fili,1  1,84  58,1  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Aspinall vs. Tybura
143,win,Paul Craig  Andre Muniz,0  0,40  24,2  2,1  0,Middleweight,KO/TKO  Elbows,2,4:40,UFC Fight Night: Aspinall vs. Tybura
144,win,Fares Ziam  Jai Herbert,0  0,61  49,1  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Aspinall vs. Tybura
145,win,Lerone Murphy  Josh Culibao,1  0,59  23,3  0,2  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Aspinall vs. Tybura
146,win,Daniel Marcos  Davey Grant,0  0,48  70,1  0,0  0,Bantamweight,S-DEC,3,5:00,UFC Fight Night: Aspinall vs. Tybura
147,win,Jonny Parsons  Danny Roberts,2  0,63  44,0  0,0  0,Welterweight,KO/TKO  Punches,2,4:57,UFC Fight Night: Aspinall vs. Tybura
148,win,Joel Alvarez  Marc Diakiese,0  0,42  20,0  2,1  0,Lightweight,SUB  D'Arce Choke,2,4:26,UFC Fight Night: Aspinall vs. Tybura
149,win,Mick Parkin  Jamal Pogues,0  0,95  36,0  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Aspinall vs. Tybura
150,win,Makhmud Muradov  Bryan Barberena,2  0,54  28,13  0,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Aspinall vs. Tybura
151,win,Ketlen Vieira  Pannie Kianzad,0  0,15  22,3  0,3  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Aspinall vs. Tybura
152,win,Chris Duncan  Yanal Ashmouz,0  0,85  35,2  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Aspinall vs. Tybura
153,win,Bruna Brasil  Shauna Bannon,0  0,56  54,2  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Aspinall vs. Tybura
154,win,Jafel Filho  Daniel Barez,0  1,21  18,1  0,1  0,Flyweight,SUB  Arm Triangle,1,3:26,UFC Fight Night: Aspinall vs. Tybura
155,nc nc,Holly Holm  Mayra Bueno Silva,0  0,27  20,0  0,0  1,Women's Bantamweight,Overturned  Guillotine Choke,2,0:38,UFC Fight Night: Holm vs. Bueno Silva
156,win,Jack Della Maddalena  Bassil Hafez,0  0,83  32,1  3,0  0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Holm vs. Bueno Silva
157,win,Francisco Prado  Ottman Azaitar,1  0,38  14,0  0,0  0,Lightweight,KO/TKO  Punches,1,4:05,UFC Fight Night: Holm vs. Bueno Silva
158,win,JunYong Park  Albert Duraev,1  0,50  31,0  1,3  0,Middleweight,SUB  Rear Naked Choke,2,4:45,UFC Fight Night: Holm vs. Bueno Silva
159,win,Norma Dumont  Chelsea Chandler,0  0,47  22,3  1,0  0,Women's Featherweight,U-DEC,3,5:00,UFC Fight Night: Holm vs. Bueno Silva
160,win,Nazim Sadykhov  Terrance McKinney,0  0,8  6,0  2,1  0,Lightweight,SUB  Rear Naked Choke,2,1:07,UFC Fight Night: Holm vs. Bueno Silva
161,win,Melsik Baghdasaryan  Tucker Lutz,0  0,64  36,0  3,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Holm vs. Bueno Silva
162,win,Viktoriia Dudakova  Istela Nunes,0  0,3  2,1  0,0  0,Women's Strawweight,KO/TKO,1,0:34,UFC Fight Night: Holm vs. Bueno Silva
163,win,Melquizael Costa  Austin Lingo,0  0,100  39,3  0,1  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Holm vs. Bueno Silva
164,win,Evan Elder  Genaro Valdez,1  1,96  64,1  0,1  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Holm vs. Bueno Silva
165,win,Azat Maksum  Tyson Nam,0  0,46  81,2  0,0  0,Flyweight,S-DEC,3,5:00,UFC Fight Night: Holm vs. Bueno Silva
166,win,Alexander Munoz  Carl Deaton,1  0,44  37,3  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Holm vs. Bueno Silva
167,win,Ailin Perez  Ashlee Evans-Smith,0  0,60  12,10  0,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Holm vs. Bueno Silva
168,win,Alexander Volkanovski  Yair Rodriguez,0  0,66  40,7  0,0  0,Featherweight,KO/TKO  Punches,3,4:19,UFC 290: Volkanovski vs. Rodriguez
169,win,Alexandre Pantoja  Brandon Moreno,1  0,129  147,6  2,0  0,Flyweight,S-DEC,5,5:00,UFC 290: Volkanovski vs. Rodriguez
